status,suspicious,company_name,country_name,new_sector_name,old_sector_name,statement_url,date_seen,approved_by_board,approved_by,signed_by_director,signed_by,link_on_front_page,published,broken_url
merged,,2M Holdings Ltd,United Kingdom,Commercial & Professional Services,Chemical,https://www.2m-holdings.com/2m-holdings-ltd-modern-slavery-policy-statement-october-2016/,14/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,3i Group plc,United Kingdom,Diversified Financials,Finance,http://www.3i.com/~/media/Files/G/Group-3i/documents/footer-pdfs/modern-slavery-statement.pdf,30/09/2016,Yes,Board,Yes,CEO,Yes,,
merged,,A B Graphic International Group of Companies,United Kingdom,Capital Goods,Manufacturing,https://abgint.com/wp-content/uploads/2016/11/Modern-slavery-statement.pdf,05/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,A J & R G Barber Ltd,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,https://cdn.shopify.com/s/files/1/1217/7686/t/2/assets/Modern-slavery-and-human-trafficking-statement.pdf?10982987683653637190,05/09/2016,Yes,Board,Yes,Director,Yes,,
merged,,AAH Pharmaceuticals Limited,United Kingdom,Health Care Equipment & Services,Health,https://www.aah.co.uk/shop/en-GB/aahpoint/modern-slavery-act,29/09/2016,Not explicit,,Yes,Managing Director,Yes,,
merged,,AB Agri Ltd,United Kingdom,Retailing,Agriculture/food/beverage,https://www.abagri.com/ABAgriCorporate/files/70/7083f618-7c4e-4521-b98c-e34a66bafec3.pdf,12/11/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Abatec Staff Consultants Limited,United Kingdom,Commercial & Professional Services,Services,http://abatec.co.uk/anti-slavery-human-trafficking-policy-statement/,09/11/2016,Not explicit,,No,,Yes,,
merged,,ABB Ltd,Switzerland,Capital Goods,Technology,https://library.e.abb.com/public/1afb093020174d15a2cfe01d20f05dc0/Human%20Rights_policy%20statement_13th%20March%202017.pdf,15/03/2017,Yes,Board,Yes,Chairman of the Board,No,,
merged,,Abcam plc,United Kingdom,"Pharmaceuticals, Biotechnology & Life Sciences",Health,http://uploads.abcamplc.com/wp-content/uploads/2016/12/20091743/Abcam-Plc-Modern-Slavery-Statement.pdf,17/01/2017,Yes,Board,Yes,CEO,Yes,,
merged,,Abellio Greater Anglia,United Kingdom,Transportation,Transport,https://www.abelliogreateranglia.co.uk/f/212342/212342.pdf,24/08/2016,Not explicit,,Yes,Commercial Director,Yes,,
merged,,ABInBev UK Limited,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.ab-inbev.co.uk/sitemap/slavery-human-trafficking-statement/,23/08/2016,Not explicit,,Yes,Legal & Corporate Affairs Director UK,Yes,,
merged,,ABM Industries Incorporated,United Kingdom,Commercial & Professional Services,Services,http://www.westwayservices.com/wp-content/uploads/2015/11/Westway-MSA-Statement-for-posting.pdf,20/03/2017,Not explicit,,Yes,Managing director,No,,
merged,,Academia Ltd,United Kingdom,Technology Hardware & Equipment,Technology,https://academia.co.uk/wp-content/uploads/2017/01/Academia-Modern-Slavery-Statement.pdf,14/02/2017,Not explicit,,No,,Yes,,
merged,,Acal plc,United Kingdom,Technology Hardware & Equipment,Manufacturing,http://www.acal.co.uk/acal/en/investors/corpgov/mod-slavery-statement,30/08/2016,Yes,Board,Yes,Director,Yes,,
merged,,Accenture (UK) Limited,United Kingdom,Commercial & Professional Services,Professional services,https://www.accenture.com/t20170224T045856__w__/gb-en/_acnmedia/PDF-44/Accenture-Modern-Slavery-Act-Statement-2017.pdf,06/03/2017,Not explicit,,Yes,Chairman and Managing Director,Yes,,
merged,,Accord Group,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,https://accordgroup.org.uk/about/about-us/mission-and-values,17/08/2016,Not explicit,,No,,No,,
merged,,Acorn Group,United Kingdom,Real Estate,Services,http://www.acornpeople.com/about-us/the-acorn-group/modern-slavery-statement-,06/01/2017,Not explicit,,Yes,Managing Director,Yes,,
merged,,Action on Hearing Loss,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,https://www.actiononhearingloss.org.uk/help-items/anti-slavery-and-human-trafficking-statement.aspx,12/01/2017,Yes,Board of Trustees,Yes,CEO,Yes,,
merged,,Acushnet Group,United States,Consumer Durables & Apparel,Sports,https://www.titleist.co.uk/company/modern-slavery-act,17/11/2016,Not explicit,,Yes,"Executive Vice President, Chief Financial Officer and Treasurer",Yes,,
merged,,Adactus Housing Group,United Kingdom,Real Estate,Real estate,https://www.adactushousing.co.uk/Information/834,10/10/2016,Not explicit,,No,,Yes,,
merged,,Adam Smith International,United Kingdom,Commercial & Professional Services,Professional services,http://www.adamsmithinternational.com/about-us/policies,27/01/2017,Not explicit,,Yes,CEO,No,,
merged,,Addaction,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,http://www.addaction.org.uk/about-us/statement-modern-slavery,06/12/2016,Not explicit,,Yes,CEO,No,,
merged,,Addleshaw Goddard LLP,United Kingdom,Commercial & Professional Services,Professional services,http://www.addleshawgoddard.com/globalassets/policies/modern-slavery-statement.pdf,02/11/2016,Not explicit,,Yes,Senior Partner,Yes,,
merged,,Addo Food Group,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.addofoodgroup.com/media/1178/slavery.pdf,17/08/2016,Yes,Board,Yes,Managing Director,Yes,,
merged,,Admiral Taverns,United Kingdom,Consumer Services,Leisure,http://www.admiraltaverns.co.uk/media/1088/admiral-taverns-modern-slavery-policy.pdf,20/12/2016,Not explicit,,No,,Yes,,
merged,,Adobe,United States,Software & Services,Technology,https://wwwimages.adobe.com/content/dam/acom/en/corporate-responsibility/pdfs/adobe-slavery-and-human-trafficking-policy-statement.pdf,17/08/2016,Not explicit,,Yes,"Senior Director, Product Delivery Operations",No,,
merged,,ADP Inc.,United States,Software & Services,Services,https://www.adp.com/modern-slavery-statement.aspx,21/11/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Advance Group,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,http://www.advanceuk.org/uploaded_files/2172/images/Modern_Slavery_Act_Statement_1617.pdf,01/02/2017,Not explicit,,Yes,CEO,No,,
merged,,Advanced Micro Devices Inc. (AMD),United States,Semiconductors & Semiconductor Equipment,Technology,https://www.amd.com/Documents/AMD-Statement-Human-Trafficking-Forced-Labor.pdf,03/02/2017,Not explicit,,No,,No,,
merged,,Advanced Procurement for Universities and Colleges,United Kingdom,Commercial & Professional Services,Services,http://www.apuc-scot.ac.uk/docs/APUC%20Modern%20Slavery%20and%20Human%20Trafficking%20Statement.pdf,21/11/2016,Yes,Board,No,,No,,
merged,,Advanced Supply Chain,United Kingdom,Transportation,Services,https://www.advancedsupplychain.com/upload/documents/ASCG%20Modern%20Slavery%20Act%20Statement.pdf,04/11/2016,Not explicit,,No,,Yes,,
merged,,AFC Bournemouth Limited,United Kingdom,Media,Sports,http://www.afcb.co.uk/documents/modern234-3553390.pdf,31/01/2017,Yes,Board,Yes,CEO,No,,
merged,,AFE Group Ltd,United Kingdom,Capital Goods,Manufacturing,http://www.theafegroup.com/assets/Slavery%20&%20Human%20Trafficking%20Statement.pdf,15/09/2016,Not explicit,,Yes,CEO,No,,
merged,,Affinity Sutton,United Kingdom,Real Estate,Real estate,http://www.affinitysutton.com/about-us/how-we-are-run/anti-slavery-and-human-trafficking-statement/,17/08/2016,Yes,Executive Team and Board,No,,No,,
merged,,A.G. BARR plc,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.agbarr.co.uk/media/310375/Modern-Slavery.pdf,20/01/2017,Not explicit,,Yes,CEO,No,,
merged,,AG Retail Cards Limited (t/a Clintons),United Kingdom,Retailing,Consumer products/retail,https://www.clintonsretail.com/modern-act-statement,06/03/2017,Not explicit,,No,,Yes,,
merged,,AGC Chemicals Europe Ltd,United Kingdom,Materials,Chemical,http://www.agcce.com/wp-content/uploads/2015/12/2015_Annual_Statement_on_Slavery_and_Human_Trafficking.pdf,15/09/2016,Yes,Board,Yes,Managing Director,Yes,,
merged,,Agent Provocateur Ltd,United Kingdom,Retailing,Apparel & textile,https://www.agentprovocateur.com/gb_en/ethical-trading,03/08/2017,Yes,Board,No,,No,,
merged,,AGS Airports Limited,United Kingdom,Transportation,Transport,http://www.aberdeenairport.com/about-us/slavery-and-human-trafficking-statement/,17/08/2016,Not explicit,,No,,Yes,,
merged,,AGT Poortman,United Kingdom,Food & Staples Retailing,Agriculture/food/beverage,http://www.poortman.com/our-skills-a-our-values/trafficking-policy,09/01/2017,Not explicit,,No,,No,,
merged,,Aintree University Hospital NHS Foundation Trust,United Kingdom,Health Care Equipment & Services,Health,https://www.aintreehospital.nhs.uk/media/2151/modern-slavery-act-statement.pdf,25/08/2016,Not explicit,,No,,No,,
merged,,Aircelle Limited,United Kingdom,Capital Goods,Manufacturing,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=Aircelle+Limited+modern+slavery+statemane,17/08/2016,Not explicit,,Yes,Managing Director,No,,
merged,,Airedale International Air Conditioning Ltd.,United Kingdom,Capital Goods,Manufacturing,http://www.airedale.com/web/UK-Modern-Slavery-Act.htm,10/10/2016,Not explicit,,Yes,Managing Director,Yes,,
merged,,Airwair International Ltd (Dr Martens),United Kingdom,Consumer Durables & Apparel,Apparel & textile,https://www.drmartens.com/medias/sys_master/h47/h8d/8881030004766.pdf,11/09/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Aktrion Holdings,United Kingdom,Commercial & Professional Services,Professional services,https://aktrion.com/wp-content/uploads/2016/04/LG023_Modern_Slavery_Statement_Signed.pdf,17/08/2016,Not explicit,,Yes,Executive Chairman,Yes,,
merged,,Akzo Nobel NV ,Netherlands,Materials,Chemical,https://www.akzonobel.com/about-us/how-we-operate/position-statements/akzonobel-modern-slavery-statement-2016,27/02/2017,No,Board of Management and Executive Committee,Yes,CEO,No,,
merged,,Alan Nutall Partnership Ltd,United Kingdom,Commercial & Professional Services,Professional services,http://www.nuttalls.co.uk/wp-content/uploads/2016/05/Anti-Slavery-and-Human-Trafficking-Statement-R1.01_1.pdf,15/09/2016,Yes,Board,Yes,Managing Director,No,,
merged,,Albert Bartlett,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://albertbartlett.co.uk/albert-bartlett-slavery-and-human-trafficking-company-statement,17/08/2016,Not explicit,,Yes,Chief Operations Officer,No,,
merged,,Aldermore Group PLC,United Kingdom,Banks,Finance,http://www.aldermore.co.uk/media/3573/modern-slavery-act-2015-statement.pdf,17/08/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Alfa Leisureplex Group,United Kingdom,Consumer Services,Travel,https://www.alfaleisureplex.co.uk/ModernSlaveryPolicy,04/01/2016,Yes,Board,Yes,Chairman,Yes,,
merged,,Alfred Dunhill Limited,United Kingdom,Consumer Durables & Apparel,Apparel & textile,https://www.dunhill.com/gb/Help/LegalArea/ModernSlaveryAct,08/03/2017,Yes,Board,Yes,Finance Director,No,,
merged,,Alliance Home Group,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,https://www.alliancehomesgroup.org.uk/media/1710/ahg-modern-slavery-and-human-trafficking-statement-mar-2016.pdf,05/09/2016,Yes,Board,Yes,Chair and CEO,Yes,,
merged,,Allied Healthcare,United Kingdom,Health Care Equipment & Services,Health,https://www.alliedhealthcare.com/OtherPolicies.pdf,06/01/2017,No,CEO,Yes,CEO,No,,
merged,,Allied Milling and Baking,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.allied-mills.co.uk/modern-slavery.php,19/12/2016,Not explicit,,Yes,Managing Director,Yes,,
merged,,Allies and Morrison LLP,United Kingdom,Commercial & Professional Services,Professional services,https://www.alliesandmorrison.com/wp-content/uploads/2016/11/Anti-Slavery.pdf,28/11/2016,Not explicit,,Yes,Designated Partner,No,,
merged,,Allocate Software Limited,United Kingdom,Health Care Equipment & Services,Technology,https://www.dynama.global/privacy/,02/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Allport Cargo Services Limited,United Kingdom,Transportation,Shipping & handling,https://allportcargoservices.com/uploads/Modern-Slavery-Act.pdf,15/09/2016,Not explicit,,Yes,Director,No,,
merged,,Alpine Electronics of UK Ltd.,United Kingdom,Retailing,Technology,https://www.alpine.co.uk/fileadmin/images/MediaCenter/Statement/AOUK-Modern-Slavery-Statement.pdf,21/10/2016,Not explicit,,Yes,Managing Director,No,,
merged,,ALPS ELECTRIC EUROPE GmbH,Germany,Capital Goods,Manufacturing,http://www.alps.com/eu/company/statement.html,21/10/2016,Not explicit,,Yes,President,No,,
merged,,Alstom Transport Uk Limited,United Kingdom,Capital Goods,Transport,http://www.alstom.com/Global/UK/Resources/Documents/2016%20Slavery%20and%20Human%20Trafficking%20Statement.pdf?epslanguage=en-GB,22/08/2016,Yes,Board,Yes,Sourcing Director UK and Ireland and the Managing Director UK and Ireland,No,,
merged,,Alternative Futures Group,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,http://alternativefuturesgroup.org.uk/alternative-futures-group-slavery-and-human-trafficking-statement/,17/08/2016,Not explicit,,No,,Yes,,
merged,,Altro Group,United Kingdom,Capital Goods,Construction & building materials,http://www.altro.com/getmedia/45c9a50f-4702-41f1-83c6-07a790a83665/Altro-Group-Modern-slavery-statement.pdf.aspx,01/03/2017,Yes,Board,Yes,Managing Director,No,,
merged,,Alumasc Group plc (The),United Kingdom,Capital Goods,Construction & building materials,http://cdn.alumasc.co.uk/wp-content/uploads/2016/08/Modern-slavery-statement-2016-signed.pdf,03/01/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Alun Griffiths (Contractors) Limited,United Kingdom,Capital Goods,Professional services,http://www.alungriffiths.co.uk/wp-content/uploads/2016/10/Modern-Slavery-Human-Trafficking-Act-Statement-2016.pdf,11/11/2016,Not explicit,,Yes,Managing Director,No,,
merged,,Alzheimer’s Society,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,https://www.alzheimers.org.uk/info/20004/about_us/651/slavery_and_human_trafficking_statement,21/10/2016,Not explicit,,No,,Yes,,
merged,,Ambition Europe Limited,United Kingdom,Commercial & Professional Services,Services,https://www.ambition.co.uk/modern-slavery-and-human-trafficking-statement,20/03/2017,No,Managing Director,No,,Yes,,
merged,,Ambitions Personnel Limited,United Kingdom,Commercial & Professional Services,Services,http://www.ambitionspersonnel.com/about/modernslavery.php,04/11/2016,Not explicit,,Yes,Directors,Yes,,
merged,,AMD Contract Services Limited,United Kingdom,Capital Goods,Construction & building materials,http://www.dykesplanthire.co.uk/art/Modern-Slavery-Human-Trafficking-Statement.pdf,03/01/2017,Not explicit,,Yes,Director,Yes,,
merged,,Amec Foster Wheeler,United Kingdom,Energy,Utilities,http://www.amecfw.com/documents/downloads/about-us/modern-slavery-statementpdf,12/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,America Fujikura Ltd (AFL),United States,Technology Hardware & Equipment,Technology,https://www.aflglobal.com/productionFiles/resources/EHS/AFL-Slavery-and-Human-Trafficking-Statement-FY2016.aspx,05/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,AMG Advanced Metallurgical Group N.V.,Netherlands,Materials,Chemical,https://s1.q4cdn.com/411066846/files/doc_downloads/2016/Modern-Slavery-Act-Statement.final.01.01.2016.pdf,17/08/2016,Not explicit,,No,,No,,
merged,,AmicusHorizon,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,http://www.amicushorizon.org.uk/AmicusHorizon/media/AMHMediaLibrary/Files/PDFs/Leaflets%20and%20Publications/Modern%20Slavery%20Statement/Modern-Slavery-Statement.pdf,17/08/2016,Not explicit,,No,,No,,
merged,,Ampersand,United Kingdom,Consumer Services,Services,http://www.ampersandcatering.co.uk/policies/Modern%20Slavery%20Policy.pdf,17/08/2016,Not explicit,,No,,Yes,,
merged,,AmTrust International Limited,United Kingdom,Insurance,Finance,http://amtrustatlloyds.com/content/modern-slavery-statement,13/01/2017,Yes,Board,Yes,CEO,Yes,,
merged,,Anglia Components Ltd,United Kingdom,Retailing,Technology,http://www.anglia.com/quality/slaveryStatement.asp,02/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Anglia Farmers Limited,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.angliafarmers.co.uk/documents/af-anti-slavery-statement.pdf,30/01/2017,Not explicit,,Yes,CEO,Yes,,
merged,,Anglian Water Services Ltd,United Kingdom,Utilities,Utilities,https://www.anglianwater.co.uk/_assets/media/modern_slavery_and_trafficking_statement_2016.pdf,17/08/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Anglian Windows Ltd,United Kingdom,Capital Goods,Construction & building materials,https://www.anglian-building.co.uk/wp-content/uploads/2016/10/Modern-Slavery-Act-Transparency-Statement-Final-Draft-v-Oct2016-002.pdf,11/11/2016,Yes,Board,No,,Yes,,
merged,,Angus Soft Fruits,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.angussoftfruits.co.uk/about-us/modern-slavery-statement-financial-year-201516/,25/08/2016,Not explicit,,Yes,Managing Director,No,,
merged,,Anjel 2000 LTD,United Kingdom,Commercial & Professional Services,Services,http://www.anjel2000.com/anjel-2000-ltd-policy-on-modern-slavery-act/,07/02/2017,Not explicit,,No,,Yes,,
merged,,Annodata Ltd,United Kingdom,Software & Services,Professional services,http://www.annodata.co.uk/wp-content/uploads/2016/03/ModernSlaveryActPolicy2015_v3.docx.pdf,17/08/2016,Not explicit,,No,,Yes,,
merged,,Anritsu EMEA Limited,United Kingdom,Capital Goods,,https://dl.cdn-anritsu.com/en-en/about-anritsu/csr/respect-persons/modern-slavery-statement-gb.pdf,09/11/2016,Not explicit,,Yes,Managing Director,Yes,TRUE,FALSE
merged,,Anritsu Group,Japan,Capital Goods,,https://dl.cdn-anritsu.com/en-en/about-anritsu/csr/respect-persons/modern-slavery-statement-en.pdf,09/11/2016,Not explicit,,Yes,CEO,Yes,TRUE,FALSE
merged,,Antofagasta plc,United Kingdom,Materials,Natural resources,http://www.antofagasta.co.uk/media/3166/aplc-modern-slavery-act-statement.pdf,10/03/2017,Yes,Board,Yes,Director,Yes,,
merged,,ANZ Group,Australia,Banks,Finance,http://www.anz.com/resources/a/b/ab2c8a89-624f-4a27-9a8e-caa7e7925167/slavery-act-2016.pdf?MOD=AJPERES,05/01/2017,Not explicit,,Yes,CEO,No,,
merged,,AO World plc,United Kingdom,Retailing,Consumer products/retail,http://ao.com/corporate/responsibility/modern-slavery-statement/,02/03/2017,Yes,Board,Yes,Chairman,No,,
merged,,AOP Orphan Pharmaceuticals AG,Austria,"Pharmaceuticals, Biotechnology & Life Sciences",Health,http://www.aoporphan.com/modern-slavery-act-statement.html,14/02/2017,Not explicit,,Yes,CFO,Yes,,
merged,,A.P. Moller - Maersk,Denmark,Transportation,Shipping & handling,http://www.maerskline.com/~/media/maersk-line/Countries/int/pdf/UK-MSA%20ML.pdf,14/02/2017,Yes,Board,Yes,CEO,No,,
merged,,APM UK LTD  (Advanced Personnel Management),United Kingdom,Commercial & Professional Services,Services,http://apm-uk.co.uk/media/59052631/dec-16-modern-slavery-statement.pdf,10/02/2017,Yes,Board,Yes,CEO,Yes,,
merged,,AQA,United Kingdom,Charity/Non-Profit,Services,http://www.aqa.org.uk/about-us/who-we-are/our-standards/modern-slavery-statement,26/08/2016,No,CEO Leadership Team,Yes,Director,No,,
merged,,Aramex UK Limited,United Arab Emirates,Transportation,Transport,http://www.aramex.com/content/uploads/100/55/50528/Modern%20Slavery%20Act.pdf,17/08/2016,Not explicit,,Yes,Director,Yes,,
merged,,Arcadia Group Ltd,United Kingdom,Retailing,Apparel & textile,https://arcadiagroup.co.uk/modernslaverystatement,02/03/2017,Not explicit,,Yes,CEO,Yes,,
merged,,Arcus Solutions (Holdings) Limited,United Kingdom,Commercial & Professional Services,Services,http://www.arcus.holdings/about-us/modern-slavery-and-human-trafficking-statement,17/08/2016,Not explicit,,No,,No,,
merged,,Argent Group Europe Limited,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://argentgroup.com/,15/09/2016,Not explicit,,No,,Yes,,
merged,,Argus Media Limited,United Kingdom,Media,Media/publishing,https://www.argusmedia.com/~/media/files/pdfs/regulation/modern-slavery-statement.pdf/,04/01/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Arnold Clark Automobiles Limited,United Kingdom,Retailing,Transport,https://www.arnoldclark.com/anti-slavery-statement,15/09/2016,Yes,Board,No,,No,,
merged,,Arqiva Group,United Kingdom,Media,Technology,https://www.arqiva.com/documentation/corporate/Arqiva+Modern+Slavery+Act+Statement.pdf,17/08/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Arran Isle Group,United Kingdom,Capital Goods,Construction & building materials,http://www.arranisle.com/wp-content/uploads/2017/02/Modern-Slavery-Act-Group-Policy-2016-Statement_270216.pdf,20/03/2017,No,CEO,Yes,CEO,Yes,,
merged,,Arriva plc,United Kingdom,Transportation,Transport,http://www.arriva.co.uk/~/media/Files/A/Arriva-Corporate-V2/documents/anti-slavery-statement-2017.pdf,07/02/2017,Not explicit,,Yes,CEO,Yes,,
merged,,Arrow Electronics Inc,United States,Technology Hardware & Equipment,Technology,http://www.arrow.com/en/about-arrow/overview,15/09/2016,Not explicit,,Yes,Chief Compliance Officer,No,,
merged,,Arrow XL Ltd,United Kingdom,Transportation,Shipping & handling,http://www.arrowxl.co.uk/modern-slavery-act,15/03/2017,Not explicit,,Yes,CEO,Yes,,
merged,,Arsenal Holdings PLC,United Kingdom,Media,Sports,https://www.arsenal.com/assets/_files/documents/nov_16/gun__1479146486_AFC_MSA_Statement.pdf,15/11/2016,Yes,Board,Yes,Director,Yes,,
merged,,Artizian Catering Limited,United Kingdom,Consumer Services,Services,http://www.artiziancatering.co.uk/anti-slavery-statement/#.WLP-EVWLREY,27/02/2017,Not explicit,,Yes,Managing Director,Yes,,
merged,,Arup Group Limited,United Kingdom,Commercial & Professional Services,Professional services,http://www.arup.com/legal_notice,30/11/2016,Not explicit,,No,,Yes,,
merged,,Arvato UK,United Kingdom,Software & Services,Services,https://www.arvato.com/content/dam/arvato/documents/leagal/170329%20Arvato%20UK%20Statement%20on%20Slavery%20and%20Human%20Trafficking%20V1a%20U.pdf,17/08/2016,Not explicit,,Yes,CEO,No,,
merged,,Asbestos Consultants Europe Limited,United Kingdom,Commercial & Professional Services,Services,http://www.aceconsultants.co.uk/wp-content/uploads/2017/01/ace-slavery-policy.pdf,11/01/2017,No,Managing Director,Yes,Managing Director,Yes,,
merged,,ASCO Group Limited,United Kingdom,Energy,Services,http://www.ascoworld.com/sites/default/files/documents/slavery_and_human_trafficking_statement_rev_1_-_19.07.16_002.pdf,17/08/2016,Not explicit,,Yes,CEO,No,,
merged,,Ascot Group,United Kingdom,Insurance,Finance,http://www.ascotuw.com/ascot-group-anti%E2%80%90slavery-and-human-trafficking-statement/,21/10/2016,Not explicit,,Yes,Director,No,,
merged,,Ashford and St Peter’s Hospital NHS Foundation Trust,United Kingdom,Health Care Equipment & Services,Health,https://www.ashfordstpeters.info/images/other/SlaveryApr2016.pdf,17/08/2016,Yes,Board,No,,No,,
merged,,Ashtead Plant Hire Co Ltd,United Kingdom,Capital Goods,Construction & building materials,https://www.aplant.com/annual-slavery-and-human-trafficking-statement,06/03/2017,Not explicit,,No,,Yes,,
merged,,Ashurst LLP,Australia,Commercial & Professional Services,Professional services,https://www.ashurst.com/resourcelib/Ashurst-Modern-Slavery-Statement.pdf,01/11/2016,Not explicit,,Yes,Member & Director,Yes,,
merged,,ASML,United States,Semiconductors & Semiconductor Equipment,Technology,https://www.asml.com/governance/code-of-conduct/california-supply-chain-act-and-uk-modern-slavery-act/en/s9859?rid=51997,02/02/2017,Not explicit,,No,,No,,
merged,,Asos,United Kingdom,Retailing,Apparel & textile,https://www.asosplc.com/~/media/Files/A/ASOS/results-archive/pdf/modern-slavery-statement-2015-16.pdf,06/02/2017,Yes,Board,Yes,CEO,No,,
merged,,Aspers UK Holdings Limited,United Kingdom,Consumer Services,Leisure,http://aspers.co.uk/terms-conditions-policies.html#modern-slavery-act-2015,09/02/2017,Not explicit,,Yes,Director,Yes,,
merged,,Aspire Housing,United Kingdom,Real Estate,Real estate,http://aspirehousing.co.uk/about-us/modern-slavery-statement/,05/12/2016,Not explicit,,No,,Yes,,
merged,,Associated British Foods plc,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.abf.co.uk/documents/pdfs/ar_cr_2016/modern_slavery_act.pdf,10/03/2017,Not explicit,,Yes,Secretary,No,,
merged,,Assura plc,United Kingdom,Real Estate,Real estate,https://assuraplc.com/wp-content/uploads/sites/2/2015/05/9.2-Modern-Slavery-Statement.pdf,09/02/2017,Not explicit,,No,,Yes,,
merged,,Astellas Pharma Inc,Japan,"Pharmaceuticals, Biotechnology & Life Sciences",Health,http://www.astellas.com/en/csr/pdf/slaver_act_Eng.pdf,01/10/2016,Yes,Board,Yes,President & CEO,No,,
merged,,Aston Manor Cider,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.astonmanor.co.uk/uploads/files/20151123144752667-1.pdf,16/01/2017,Not explicit,,Yes,Managing Director and Head of Compliance,No,,
merged,,Astute Technical Recruitment Limited,United Kingdom,Commercial & Professional Services,Professional services,https://www.astutetechnical.co.uk/policies/modern-slavery-act?,17/08/2016,No,Managing Director,Yes,Managing Director,No,,
merged,,Atlas Elektronik UK Limited,United Kingdom,Capital Goods,Technology,https://www.uk.atlas-elektronik.com/fileadmin/user_upload/documents/AE_UK/2016_Modern_Slavery_Act_Statement.pdf,25/01/2017,Not explicit,,Yes,Director,No,,
merged,,ATPI,United States,Consumer Services,Services,http://www2.atpi.com/files/2016-Modern-Slavery-statement.pdf,18/10/2016,Yes,Board,Yes,CEO,Yes,,
merged,,Attenda,United Kingdom,Software & Services,Technology,http://www.attenda.com/legal/anti-slavery-human-trafficking-statement/,26/08/2016,Yes,Board,No,,No,,
merged,,Aurionpro Solutions,India,Software & Services,Services,https://www.aurionpro.com/wp-content/uploads/2016/04/ANTISLAVERY-AND-TRAFFICKING-POLICY-UK-2016final.pdf,17/08/2016,No,Executive management,No,,No,,
merged,,Aurum Group Limited,United Kingdom,Retailing,Consumer products/retail,http://www.watches-of-switzerland.co.uk/i/modern-slavery-act-transparency-statement;jsessionid=E384F6F04932BF384FC835CC1FD29C87.node3,01/11/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Auto Trader Group plc,United Kingdom,Software & Services,Technology,http://about-us.autotrader.co.uk/wp-content/uploads/Auto-Trader-Group-plc-Modern-Slavery-Statement-September-2016.pdf,20/01/2017,Not explicit,,Yes,Director,No,,
merged,,Avery Dennison UK,United Kingdom,Materials,Services,https://www.averydennison.com/content/dam/averydennison/corporate/global/English/Documents/Sustainability/Avery_Dennison_UK_Modern_Slavery_Human_Traffic_Statement.pdf,11/11/2016,Not explicit,,No,,No,,
merged,,Aveva Group plc,United Kingdom,Software & Services,Technology,http://www.aveva.com/en/About/Slavery_and_Human_Trafficking_Statement/,29/09/2016,Not explicit,,No,,No,,
merged,,Aviagen,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://en.aviagen.com/legal-statements-and-disclaimers/,07/09/2016,Not explicit,,No,,No,,
merged,,"Avnet, Inc.",United States,Technology Hardware & Equipment,Technology,https://www.avnet.com/en-us/Documents/MSA-Disclosure-Statement.pdf,03/01/2017,Not explicit,,Yes,Director,Yes,,
merged,,Axalta UK,United States,Materials,Chemical,https://www.axaltacs.com/corporate/en_US/about-axalta/the-modern-slavery-act-disclosure-statement.print.pdf,17/08/2016,Not explicit,,No,,No,,
